,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
47,Colombia,1188.253526,1214.201104,1243.083903,1241.813008,1285.297176,1285.785092,1315.352957,1331.512772,1377.663134,1428.128215,1488.3483720000002,1538.5579779999998,1618.114933,1688.037913,1745.0770870000001,1744.171693,1786.679892,1818.353465,1927.2466980000002,1984.909177,2019.85473,2019.6684670000002,1993.949996,1981.468562,2003.9920129999998,2022.211966,2095.750242,2163.121139,2205.628897,2235.8665309999997,2324.843633,2332.361881,2403.772309,2415.206674,2509.6157329999996,2592.710818,2599.008309,2641.021632,2610.185487,2458.021358,2511.9746649999997,2512.519737,2534.3331,2592.376265,2688.5084260000003,2772.214728,2913.479828,3068.477266,3131.177668,3137.6953350000003,3218.071704,3362.4656
49,"Congo, Dem. Rep.",324.9031665,282.3016962,333.4012713,341.6803309,324.49323169999997,318.80162889999997,330.87698389999997,318.2577461,322.4802977,342.4621165,331.9720608,342.14795519999996,333.2914795,350.5757016,351.55840730000006,324.62015269999995,298.49290560000003,291.9024413,268.1384038,261.47155530000003,259.6661311,258.4765423,250.3526378,247.05085970000002,253.5984241,247.5906962,251.8107432,250.98229359999996,244.4555462,233.44093219999996,210.3888534,185.29209219999998,159.1615195,132.2328365,122.40251869999999,119.2955513,114.8746659,105.91015279999999,101.9813238,95.49727676,86.75450673,82.66194432,83.08185929,85.28262483,88.24305276,92.36725616,94.76973518,97.91018296,101.1038512,101.1690067,105.5317381,109.80929809999999
50,"Congo, Rep.",617.7375477,652.3448467999999,668.5166302,624.6798627999999,631.1931315,636.697444,627.7325227000001,623.3533086,652.1780312000001,681.4274455,703.6692453,735.6879567000001,774.9592117999999,813.2939077999999,850.9967104,889.5986098999999,871.6164100999999,770.8280934999999,796.5388242,849.7890311000001,970.9736321,1108.999004,1330.854746,1367.905967,1421.332509,1364.792651,1235.794962,1204.1541439999999,1192.17118,1190.261643,1170.024588,1166.299382,1165.298657,1123.5342,1033.593241,1045.775938,1060.600119,1024.542516,1033.349474,979.6144362,1026.831555,1040.1518210000002,1062.807865,1047.17437,1058.23658,1112.0991800000002,1150.392879,1101.219981,1130.542842,1182.5792490000001,1253.804149,1266.356056
52,Costa Rica,1797.966457,1719.6627989999997,1795.492989,1817.026278,1829.666748,1945.901543,2035.7138699999998,2088.610594,2201.295313,2262.9286399999996,2371.559757,2471.677527,2612.3581649999996,2749.9661760000004,2835.318007,2825.086163,2905.862294,3082.039196,3187.500849,3254.090647,3189.039826,3031.481706,2733.293317,2734.286881,2824.580879,2776.893983,2859.065496,2974.959654,3008.202118,3079.734066,3119.632564,3121.370058,3325.26772,3486.846918,3564.271599,3613.881003,3555.542499,3660.070068,3869.5233909999997,4088.304414,4068.8213509999996,4026.557239,4061.980725,4241.887772,4344.084202,4521.011952000001,4836.674305,5137.485256,5196.689144,5066.9660030000005,5226.566178,5367.799878
53,Cote d'Ivoire,550.6903451000001,583.0865459,567.7902655,624.8449296,706.2150807999999,657.589154,705.2405258,708.9933711,766.6051008999999,806.0106232999999,852.9255887,894.1228027000001,891.8858825,903.5532122999999,900.9366863,931.7505002999999,1004.8938390000001,1029.964383,1091.200333,1067.713471,909.0070675000001,900.0737956,863.4311610999999,795.2365324,742.6592873,746.1494782999999,742.0833526,713.4016106,696.8595184999999,693.3078299,662.8675347,641.2072899,618.8025745,598.018497,584.5253864,608.1200345,637.2058658,656.158427,670.6147102000001,665.9728897000001,628.2281148,616.5235813999999,597.5229751,578.9671333,580.1682887999999,578.0306074,572.2971337,572.0962695000001,574.9350967,585.3044892999999,587.5445423,548.2314368
59,Denmark,11390.66975,12032.9604,12616.25178,12596.998109999999,13655.160969999999,14166.36717,14438.2478,14815.00155,15310.39116,16188.618380000002,16392.96976,16768.1407,17368.578719999998,17912.89592,17684.206280000002,17417.91937,18432.89087,18739.197480000003,19105.99455,19811.98194,19691.43009,19522.33061,20262.27005,20813.88373,21692.26082,22556.1085,23640.82914,23679.3603,23634.090959999998,23755.23628,24097.907919999998,24348.014030000002,24747.03263,24642.62019,25916.55271,26572.14846,27171.14342,27923.916530000002,28423.78832,29055.2665,29980.155469999998,30083.47866,30127.21553,30160.70124,30773.705789999996,31439.4391,32400.060610000004,32767.403489999997,32320.100539999996,30326.03845,30667.82486,30860.128080000002
62,Dominican Republic,912.4695380000001,862.0671954,976.1887011,1006.2823380000001,1040.433898,882.3763529999999,970.8211926000001,973.3613108999999,947.3642212000001,1020.714367,1173.235604,1265.428417,1359.811412,1495.254444,1544.7331,1584.6242949999998,1650.2463810000002,1691.3833100000002,1687.350003,1723.218943,1818.071861,1852.916846,1842.044397,1884.4215219999999,1866.1361760000002,1787.020966,1810.591866,1952.0257960000001,1952.993597,1997.4921559999998,1850.6950129999998,1831.2213170000002,1984.325734,2087.090711,2095.655843,2171.3011260000003,2286.158872,2428.195275,2556.581423,2685.208326,2792.917696,2799.6899550000003,2916.7833539999997,2865.84728,2860.6519670000002,3080.315496,3360.408656,3594.073251,3730.9098520000002,3807.8097869999997,4049.039107,4176.344375
64,Ecuador,820.3111138999999,809.1023901000001,821.4686779,828.3676654,866.8567408,868.0489096000001,841.74306,874.104975,868.1510178999999,888.625552,928.3897199999999,959.7221622000002,974.8998795,1099.971893,1157.883922,1218.663667,1274.6352869999998,1267.456077,1315.911457,1346.169969,1367.5172949999999,1375.3147099999999,1331.018709,1263.228995,1277.740533,1281.5258529999999,1300.342865,1241.260481,1312.8643880000002,1294.739605,1299.211204,1336.352827,1327.249289,1303.469895,1337.833423,1336.079949,1344.5867640000001,1376.5161890000002,1383.787635,1276.486467,1291.341613,1337.822903,1382.484605,1403.492992,1501.7968970000002,1562.326863,1610.967343,1618.868002,1710.5330600000002,1692.0671969999999,1728.052156,1837.008584
65,Egypt,430.3645317,437.60678139999993,455.52968020000003,484.0453141,510.1450158,543.1555139,535.1545222,525.1453069,526.2595801,548.6990767000001,565.9760672,572.2625856000001,571.0375231,562.6074103999999,564.1245673,601.1673142000001,673.9667707,743.659362,769.0496151000001,796.9975534,856.6007894999999,868.0588617000001,931.6261342,976.887535,1011.7385619999999,1052.846372,1054.8880199999999,1055.697719,1085.7776820000001,1114.5132039999999,1153.6845130000002,1143.81312,1173.2100699999999,1186.8057310000002,1213.50565,1248.732698,1289.080933,1337.008939,1367.3426470000002,1425.764651,1475.84441,1500.522743,1507.929351,1527.274258,1560.38394,1600.321838,1678.954796,1765.8694269999999,1858.8584469999998,1911.9645010000002,1975.5500309999998,1976.61483
66,El Salvador,1448.829523,1454.729423,1577.796759,1593.710424,1687.875405,1724.391115,1793.604789,1837.394948,1844.4991710000002,1857.145497,1861.494075,1882.6389829999998,1946.632419,1990.629,2047.066605,2059.498059,2117.436716,2215.468043,2289.138261,2154.459307,1869.2777190000002,1648.0112880000001,1521.744682,1523.92489,1523.853512,1513.302416,1496.867323,1515.347176,1524.364234,1518.811516,1570.04653,1602.0189369999998,1696.185962,1793.288017,1875.000075,1970.700359,1984.250943,2051.604252,2114.407971,2175.120985,2211.022459,2239.118645,2283.020652,2327.644216,2362.747667,2438.1436510000003,2523.5235989999996,2609.089915,2629.9379050000002,2534.8059719999997,2555.8876760000003,2579.115607
